entrada;tipo;numero_nf;documento;macro_item_informakon;grupo_fip_wave;valor_descontado;valor_a_descontar;valor_total_nf;medicoes
154859/004;NF-e;198;NF-e 198;SISTEMA DE PROTEÇÃO CONTRA DESCARGA ATMOSFÉRICA;18;9713.84;0.00;9713.84;med1=9713.84
157045/007;NF-e;206;NF-e 206;SISTEMA DE PROTEÇÃO CONTRA DESCARGA ATMOSFÉRICA;18;8729.42;0.00;8729.42;med3=8729.42
156974/001;NF-e;6150;NF-e 6150;SISTEMA DE PROTEÇÃO CONTRA DESCARGA ATMOSFÉRICA;18;5167.67;3265.48;8433.15;med4=5167.67
154783/001;NFS-e;2139;NFS-e 2139;SISTEMA DE PROTEÇÃO CONTRA DESCARGA ATMOSFÉRICA;18;6449.30;0.00;6449.30;med1=6449.30
154782/001;NF-e;297553;NF-e 297553;SISTEMA DE PROTEÇÃO CONTRA DESCARGA ATMOSFÉRICA;18;5847.64;0.00;5847.64;med1=5847.64
153753/001;NFS-e;81;NFS-e 81;ADMINISTRAÇÃO OBRA;19.1.1;16000.00;0.00;16000.00;med1=16000.00
154579/001;NFS-e;83;NFS-e 83;ADMINISTRAÇÃO OBRA;19.1.1;16000.00;0.00;16000.00;med1=16000.00
155566/001;NFS-e;85;NFS-e 85;ADMINISTRAÇÃO OBRA;19.1.1;16000.00;0.00;16000.00;med2=16000.00
157040/001;NFS-e;87;NFS-e 87;ADMINISTRAÇÃO OBRA;19.1.1;16000.00;0.00;16000.00;med4=16000.00
158097/001;NFS-e;90;NFS-e 90;ADMINISTRAÇÃO OBRA;19.1.1;16000.00;0.00;16000.00;med4=16000.00
153751/001;NFS-e;87;NFS-e 87;ADMINISTRAÇÃO OBRA;19.1.1;13500.00;0.00;13500.00;med1=13500.00
154577/001;NFS-e;88;NFS-e 88;ADMINISTRAÇÃO OBRA;19.1.1;13500.00;0.00;13500.00;med1=13500.00
155564/001;NFS-e;90;NFS-e 90;ADMINISTRAÇÃO OBRA;19.1.1;13500.00;0.00;13500.00;med2=13500.00
157037/001;NFS-e;91;NFS-e 91;ADMINISTRAÇÃO OBRA;19.1.1;13500.00;0.00;13500.00;med4=13500.00
158101/001;NFS-e;93;NFS-e 93;ADMINISTRAÇÃO OBRA;19.1.1;13500.00;0.00;13500.00;med4=13500.00
155649/001;NF-e;2114;NF-e 2114;ADMINISTRAÇÃO OBRA;19.1.1;11934.70;0.00;11934.70;med2=11934.70
153755/001;NFS-e;2;NFS-e 2;ADMINISTRAÇÃO OBRA;19.1.1;8500.00;0.00;8500.00;med1=8500.00
